Chemical,Type,Group,Notes
DECAN-1-OL,Adjuvant,,
FATTY ALCOHOLS,Adjuvant,,
PINOLENE,Adjuvant,,
POTASSIUM OLEATE,Adjuvant,,
CALCIUM CHLORIDE,Fertilizer,,
HYDRATED LIME,Fertilizer,,
PHOSPHORIC ACID,Fertilizer,,
POTASSIUM BICARBONATE,Fertilizer,,
POTASSIUM CARBONATE,Fertilizer,,
ZINC,Fertilizer,,
BENOMYL,Fungicide,1,
THIABENDAZOLE,Fungicide,1,
THIOPHANATE-METHYL,Fungicide,1,
IPRODIONE,Fungicide,2,
VINCLOZOLIN,Fungicide,2,
CYPROCONAZOLE,Fungicide,3,
DIFENOCONAZOLE,Fungicide,3,
FENARIMOL,Fungicide,3,
FENBUCONAZOLE,Fungicide,3,
FLUSILAZOLE,Fungicide,3,
FLUTRIAFOL,Fungicide,3,
IMAZALIL,Fungicide,3,
IPCONAZOLE,Fungicide,3,
METCONAZOLE,Fungicide,3,
MYCLOBUTANIL,Fungicide,3,
PROPICONAZOLE,Fungicide,3,
PROTHIOCONAZOLE,Fungicide,3,
TEBUCONAZOLE,Fungicide,3,
TETRACONAZOLE,Fungicide,3,
TRIADIMEFON,Fungicide,3,
TRIADIMENOL,Fungicide,3,
TRIFLUMIZOLE,Fungicide,3,
TRIFORINE,Fungicide,3,
TRITICONAZOLE,Fungicide,3,
MEFENOXAM,Fungicide,4,
METALAXYL,Fungicide,4,
BENZOVINDIFLUPYR,Fungicide,7,
BOSCALID,Fungicide,7,
CARBOXIN,Fungicide,7,
FLUOPYRAM,Fungicide,7,
FLUTOLANIL,Fungicide,7,
FLUXAPYROXAD,Fungicide,7,
ISOFETAMID,Fungicide,7,
PENFLUFEN,Fungicide,7,
PENTHIOPYRAD,Fungicide,7,
SEDAXANE,Fungicide,7,
CYPRODINIL,Fungicide,9,
PYRIMETHANIL,Fungicide,9,
AZOXYSTROBIN,Fungicide,11,
FAMOXADONE,Fungicide,11,
FENAMIDONE,Fungicide,11,
FLUOXASTROBIN,Fungicide,11,
KRESOXIM-METHYL,Fungicide,11,
PICOXYSTROBIN,Fungicide,11,
PYRACLOSTROBIN,Fungicide,11,
TRIFLOXYSTROBIN,Fungicide,11,
FLUDIOXONIL,Fungicide,12,
QUINOXYFEN,Fungicide,13,
CHLORONEB,Fungicide,14,
DICLORAN,Fungicide,14,
ETRIDIAZOLE,Fungicide,14,
FLUOPICOLIDE,Fungicide,14,
QUINTOZENE,Fungicide,14,
TOLCLOFOS-METHYL,Fungicide,14,
FENHEXAMID,Fungicide,17,
CYAZOFAMID,Fungicide,21,
ETHABOXAM,Fungicide,22,
ZOXAMIDE,Fungicide,22,
KASUGAMYCIN,Fungicide,24,
CYMOXANIL,Fungicide,27,
PROPAMOCARB HCL,Fungicide,28,
DINOCAP,Fungicide,29,
FLUAZINAM,Fungicide,29,
FENTIN,Fungicide,30,
HYMEXAZOL,Fungicide,32,
FENAZAQUIN,Fungicide,39,
DIMETHOMORPH,Fungicide,40,
MANDIPROPAMID,Fungicide,40,
OXYTETRACYCLINE,Fungicide,41,
BACILLUS AMYLOLIQUEFACIEN,Fungicide,44,
BACILLUS AMYLOLIQUIFACIEN,Fungicide,44,
AMECTOCTRADIN,Fungicide,45,
AMETOCTRADIN,Fungicide,45,
OXATHIAPIPROLIN,Fungicide,49,
METRAFENONE,Fungicide,50,
AMPELOMYCES QUISQUALIS,Fungicide,biological,
BACILLUS PUMILIS,Fungicide,biological,
BURKHOLDERIA CEPACIA,Fungicide,biological,
CONIOTHYRIUM MINITANS,Fungicide,biological,
GLIOCLADIUM VIRENS,Fungicide,biological,
PSEUDOMONAS FLUORESCENS,Fungicide,biological,
REYNOUTRIA SACHALINENSIS,Fungicide,biological,
STREPTOMYCES LYDICUS,Fungicide,biological,
BLAD PROTEIN,Fungicide,BM01,
BORDEAUX MIXTURE,Fungicide,M01,
COPPER,Fungicide,M01,
COPPER HYDROXIDE,Fungicide,M01,
COPPER OCTANOATE,Fungicide,M01,
COPPER OXYCHLORIDE,Fungicide,M01,
COPPER OXYCHLORIDE S,Fungicide,M01,
COPPER SULF TRIBASIC,Fungicide,M01,
COPPER SULFATE,Fungicide,M01,
COPPER SULFATE TRIBASIC,Fungicide,M01,
CUPROUS OXIDE,Fungicide,M01,
FERBAM,Fungicide,M03,
MANCOZEB,Fungicide,M03,insecticidal
MANEB,Fungicide,M03,
METIRAM,Fungicide,M03,
THIRAM,Fungicide,M03,
ZINEB,Fungicide,M03,
ZIRAM,Fungicide,M03,
CAPTAFOL,Fungicide,M04,
CAPTAN,Fungicide,M04,
FOLPET,Fungicide,M04,
CHLOROTHALONIL,Fungicide,M05,
ANILAZINE,Fungicide,M08,
CHINOMETHIONAT,Fungicide,M10,
ACIBENZOLAR,Fungicide,P01,
FOSETYL,Fungicide,P07,
CYFLUFENAMID,Fungicide,U06,
DODINE,Fungicide,U12,
BARIUM POLYSULFIDE,Fungicide,,
DICHLONE,Fungicide,,
GALLEX,Fungicide,,
GENTAMICIN SULFATE,Fungicide,,
HARPIN PROTEIN,Fungicide,,
HYDROGEN PEROXIDE,Fungicide,,
POLYOXORIM,Fungicide,,
POTASSIUM SILICATE,Fungicide,,
SILICATES,Fungicide,,
STREPTOMYCIN,Fungicide,,
SULFUR,Fungicide,,
TCMTB,Fungicide,,
TETRABOROHYDRATE,Fungicide,,
CLETHODIM,Herbicide,1,
CLODINAFOP,Herbicide,1,
CYHALOFOP,Herbicide,1,
DICLOFOP,Herbicide,1,
FENOXAPROP,Herbicide,1,
FLUAZIFOP,Herbicide,1,
PINOXADEN,Herbicide,1,
QUIZALOFOP,Herbicide,1,
SETHOXYDIM,Herbicide,1,
TRALKOXYDIM,Herbicide,1,
BENSULFURON,Herbicide,2,
BISPYRIBAC,Herbicide,2,
CHLORIMURON,Herbicide,2,
CHLORSULFURON,Herbicide,2,
CLORANSULAM-METHYL,Herbicide,2,
DICLOSULAM,Herbicide,2,
ETHAMETSULFURON,Herbicide,2,
FLAZASULFURON,Herbicide,2,
FLORASULAM,Herbicide,2,
FLUCARBAZONE,Herbicide,2,
FLUMETSULAM,Herbicide,2,
FORAMSULFURON,Herbicide,2,
HALOSULFURON,Herbicide,2,
IMAZAMETHABENZ,Herbicide,2,
IMAZAMOX,Herbicide,2,
IMAZAPIC,Herbicide,2,
IMAZAPYR,Herbicide,2,
IMAZAQUIN,Herbicide,2,
IMAZETHAPYR,Herbicide,2,
IMAZOSULFURON,Herbicide,2,
IODOSULFURON,Herbicide,2,
MESOSULFURON,Herbicide,2,
METSULFURON,Herbicide,2,
NICOSULFURON,Herbicide,2,
PENOXSULAM,Herbicide,2,
PRIMISULFURON,Herbicide,2,
PROPOXYCARBAZONE,Herbicide,2,
PROSULFURON,Herbicide,2,
PYRITHIOBAC-SODIUM,Herbicide,2,
PYROXSULAM,Herbicide,2,
RIMSULFURON,Herbicide,2,
SULFOMETURON,Herbicide,2,
SULFOSULFURON,Herbicide,2,
THIENCARBAZONE-METHYL,Herbicide,2,
THIFENSULFURON,Herbicide,2,
TRIASULFURON,Herbicide,2,
TRIBENURON METHYL,Herbicide,2,
TRIFLOXYSULFURON,Herbicide,2,
TRIFLUSULFURON,Herbicide,2,
BENFLURALIN,Herbicide,3,
BUTRALIN,Herbicide,3,
DCPA,Herbicide,3,
DITHIOPYR,Herbicide,3,
ETHALFLURALIN,Herbicide,3,
ORYZALIN,Herbicide,3,
PENDIMETHALIN,Herbicide,3,
PROFLURALIN,Herbicide,3,
PROPYZAMIDE,Herbicide,3,
THIAZOPYR,Herbicide,3,
TRIFLURALIN,Herbicide,3,
"2,4-D",Herbicide,4,
"2,4-DB",Herbicide,4,
AMINOPYRALID,Herbicide,4,
CHLORAMBEN,Herbicide,4,
CLOPYRALID,Herbicide,4,
DICAMBA,Herbicide,4,
DICHLORPROP,Herbicide,4,
FLUROXYPYR,Herbicide,4,
MCPA,Herbicide,4,
MCPB,Herbicide,4,
MECOPROP,Herbicide,4,
PICLORAM,Herbicide,4,
QUINCLORAC,Herbicide,4,
TRICLOPYR,Herbicide,4,
AMETRYN,Herbicide,5,
ATRAZINE,Herbicide,5,
BROMACIL,Herbicide,5,
CHLORIDAZON,Herbicide,5,
CYANAZINE,Herbicide,5,
DESMEDIPHAM,Herbicide,5,
HEXAZINONE,Herbicide,5,
METRIBUZIN,Herbicide,5,
PHENMEDIPHAM,Herbicide,5,
PROMETON,Herbicide,5,
PROMETRYN,Herbicide,5,
PROPAZINE,Herbicide,5,
SIMAZINE,Herbicide,5,
TERBACIL,Herbicide,5,
TERBUTRYN,Herbicide,5,
BENTAZONE,Herbicide,6,
BROMOXYNIL,Herbicide,6,
PYRIDATE,Herbicide,6,
CHLOROXURON,Herbicide,7,
DIURON,Herbicide,7,
FLUOMETURON,Herbicide,7,
LINURON,Herbicide,7,
NORURON,Herbicide,7,
PROPANIL,Herbicide,7,
TEBUTHIURON,Herbicide,7,
BENSULIDE,Herbicide,8,
BUTYLATE,Herbicide,8,
CYCLOATE,Herbicide,8,
DI-ALLATE,Herbicide,8,
EPTC,Herbicide,8,
ETHOFUMESATE,Herbicide,8,
MOLINATE,Herbicide,8,
PEBULATE,Herbicide,8,
SULFALLATE,Herbicide,8,
THIOBENCARB,Herbicide,8,
TRI-ALLATE,Herbicide,8,
VERNOLATE,Herbicide,8,
GLYPHOSATE,Herbicide,9,
SULFOSATE,Herbicide,9,
GLUFOSINATE,Herbicide,10,
AMITROLE,Herbicide,11,
FLURIDONE,Herbicide,12,
NORFLURAZON,Herbicide,12,
CLOMAZONE,Herbicide,13,
ACIFLUORFEN,Herbicide,14,
BIFENOX,Herbicide,14,
CARFENTRAZONE-ETHYL,Herbicide,14,
FLUMICLORAC,Herbicide,14,
FLUMIOXAZIN,Herbicide,14,
FLUTHIACET-METHYL,Herbicide,14,
FOMESAFEN,Herbicide,14,
LACTOFEN,Herbicide,14,
OXADIAZON,Herbicide,14,
OXYFLUORFEN,Herbicide,14,
PYRAFLUFEN ETHYL,Herbicide,14,
SAFLUFENACIL,Herbicide,14,
SULFENTRAZONE,Herbicide,14,
ACETOCHLOR,Herbicide,15,
ALACHLOR,Herbicide,15,
DIMETHENAMID,Herbicide,15,
DIMETHENAMID & DIMETHENAMID-P,Herbicide,15,
DIMETHENAMID-P,Herbicide,15,
DIPHENAMID,Herbicide,15,
FLUFENACET,Herbicide,15,
METOLACHLOR,Herbicide,15,
METOLACHLOR & METOLACHLOR-S,Herbicide,15,
METOLACHLOR-S,Herbicide,15,
NAPROPAMIDE,Herbicide,15,
DSMA,Herbicide,17,
MSMA,Herbicide,17,
ASULAM,Herbicide,18,
DIFLUFENZOPYR,Herbicide,19,
NAPTALAM,Herbicide,19,
DICHLOBENIL,Herbicide,20,
ISOXABEN,Herbicide,21,
PARAQUAT,Herbicide,21,
DIQUAT,Herbicide,22,
CHLORPROPHAM,Herbicide,23,
DINOSEB,Herbicide,24,
DNOC,Herbicide,24,
DALAPON,Herbicide,26,
DIFENZOQUAT,Herbicide,26,
TCA,Herbicide,26,
BICYCLOPYRONE,Herbicide,27,
FOSAMINE,Herbicide,27,
ISOXAFLUTOLE,Herbicide,27,
MESOTRIONE,Herbicide,27,
PYRASULFOTOLE,Herbicide,27,
PYROXASULFONE,Herbicide,27,
TEMBOTRIONE,Herbicide,27,
TOPRAMEZONE,Herbicide,27,
PHYTOPHTHORA SPORES,Herbicide,,
AMMONIUM SULFAMATE,Herbicide,,
ARSENIC ACID,Herbicide,,
BARBAN,Herbicide,,
DIETHATYL,Herbicide,,
DIMETHIPIN,Herbicide,,
DIMETHYL ARSINIC ACID,Herbicide,,
DIMETHYLARSINIC ACID,Herbicide,,
ENDOTHAL,Herbicide,,
FLUCHLORALIN,Herbicide,,
HALAUXIFEN,Herbicide,,
INDAZIFLAM,Herbicide,,
ISOPROPALIN,Herbicide,,
METHAZOLE,Herbicide,,
ORTHOSULFAMURON,Herbicide,,
PACLOBUTRAZOL,Herbicide,,
PRODIAMINE,Herbicide,,
PROPACHLOR,Herbicide,,
SODIUM CHLORATE,Herbicide,,
SODIUM METABORATE,Herbicide,,
SULFCARBAMIDE,Herbicide,,
SULFURIC ACID,Herbicide,,
TETRAOXOSULFATE,Herbicide,,
THIDIAZURON,Herbicide,,
TRIDIPHANE,Herbicide,,
SPINETORAM,Insecticide,5,
SPINOSYN,Insecticide,5,
ABAMECTIN,Insecticide,6,
EMAMECTIN,Insecticide,6,
CHLORFENAPYR,Insecticide,13,
DIFLUBENZURON,Insecticide,15,
NOVALURON,Insecticide,15,
BUPROFEZIN,Insecticide,16,
CYROMAZINE,Insecticide,17,
METHOXYFENOZIDE,Insecticide,18,
TEBUFENOZIDE,Insecticide,18,
AMITRAZ,Insecticide,19,
PYRIDABEN,Insecticide,21,
SPIRODICLOFEN,Insecticide,23,
SPIROMESIFEN,Insecticide,23,
SPIROTETRAMAT,Insecticide,23,
ALUMINUM PHOSPHIDE,Insecticide,24,
CHLORANTRANILIPROLE,Insecticide,28,
CYANTRANILIPROLE,Insecticide,28,
RYANODINE,Insecticide,28,
FLONICAMID,Insecticide,29,
FLUBENDIAMIDE,Insecticide,29,
CLOFENTEZINE,Insecticide,10A,
HEXYTHIAZOX,Insecticide,10A,
